Customer ID,Age,Contract Type,Monthly Charges,Tenure,Churn
CUST-10051,72,Month-to-Month,33.92,25,No
CUST-10052,69,Two Year,20.34,53,No
CUST-10053,74,Month-to-Month,44.53,17,No
CUST-10054,20,Month-to-Month,90.46,57,Yes
CUST-10055,54,Month-to-Month,29.92,20,Yes
CUST-10056,68,Month-to-Month,110.89,25,No
CUST-10057,24,Month-to-Month,41.5,42,No
CUST-10058,38,One Year,40.46,45,No
CUST-10059,26,Month-to-Month,38.15,31,No
CUST-10060,56,One Year,21.4,65,No
CUST-10061,35,Month-to-Month,97.18,52,Yes
CUST-10062,21,Month-to-Month,107.5,21,Yes
CUST-10063,42,Month-to-Month,81.42,30,Yes
CUST-10064,77,Two Year,38.82,3,No
CUST-10065,31,Month-to-Month,48.53,70,No
CUST-10066,67,One Year,67.59,43,No
CUST-10067,75,Month-to-Month,115.43,29,Yes
CUST-10068,26,One Year,44.74,3,No
CUST-10069,43,Month-to-Month,93.16,58,No
CUST-10070,70,One Year,63.94,33,No
CUST-10071,19,One Year,49.78,45,No
CUST-10072,37,Two Year,65.59,69,No
CUST-10073,45,Month-to-Month,27.12,32,No
CUST-10074,64,Month-to-Month,99.87,52,No
CUST-10075,77,Month-to-Month,44.33,64,No
CUST-10076,24,Two Year,92.54,40,No
CUST-10077,61,Month-to-Month,26.83,13,No
CUST-10078,78,One Year,115.51,29,No
CUST-10079,25,Month-to-Month,39.3,63,No
CUST-10080,64,Month-to-Month,108.27,26,Yes
CUST-10081,52,Month-to-Month,100.95,59,No
CUST-10082,31,Two Year,116.79,49,No
CUST-10083,34,One Year,67.79,53,No
CUST-10084,53,Two Year,92.74,31,Yes
CUST-10085,67,Month-to-Month,57.07,12,No
CUST-10086,57,One Year,38.44,58,No
CUST-10087,21,One Year,64.31,36,No
CUST-10088,19,Month-to-Month,36.57,10,Yes
CUST-10089,79,Two Year,118.2,6,No
CUST-10090,23,Two Year,29.62,7,No
CUST-10091,71,Two Year,78.92,31,No
CUST-10092,59,One Year,82.65,72,No
CUST-10093,21,Month-to-Month,73.81,3,Yes
CUST-10094,71,Month-to-Month,86.22,47,Yes
CUST-10095,46,Two Year,31.62,1,No
CUST-10096,35,Month-to-Month,75.5,45,Yes
CUST-10097,43,One Year,48.72,54,No
CUST-10098,61,One Year,114.02,50,No
CUST-10099,51,One Year,96.21,7,Yes
CUST-10100,27,Two Year,117.25,63,No
CUST-10101,79,Month-to-Month,23.76,15,No
CUST-10102,53,Month-to-Month,48.51,67,No
CUST-10103,31,Month-to-Month,39.54,30,No
CUST-10104,48,Month-to-Month,21.12,68,No
CUST-10105,65,Month-to-Month,44.23,36,No
CUST-10106,32,Month-to-Month,87.88,67,No
CUST-10107,25,Two Year,43.11,5,No
CUST-10108,31,Two Year,70.9,25,No
CUST-10109,40,Month-to-Month,108.78,11,Yes
CUST-10110,77,Month-to-Month,89.38,72,No
CUST-10111,74,Two Year,59.46,66,No
CUST-10112,79,Month-to-Month,57.25,28,Yes
CUST-10113,57,Month-to-Month,65.57,60,No
CUST-10114,38,Month-to-Month,37.7,10,No
CUST-10115,33,One Year,83.4,50,No
CUST-10116,62,Month-to-Month,56.42,39,No
CUST-10117,35,Two Year,105.24,37,No
CUST-10118,64,Month-to-Month,95.66,63,No
CUST-10119,70,Month-to-Month,81.05,61,No
CUST-10120,41,Month-to-Month,56.42,38,Yes
CUST-10121,43,Month-to-Month,40.99,33,No
CUST-10122,42,One Year,97.62,45,No
CUST-10123,77,One Year,68.64,44,No
CUST-10124,77,One Year,42.48,1,No
CUST-10125,77,One Year,39.52,53,No
CUST-10126,62,Two Year,36.54,47,No
CUST-10127,58,Two Year,97.72,33,No
CUST-10128,46,One Year,42.9,67,No
CUST-10129,32,Month-to-Month,72.66,15,Yes
CUST-10130,62,Month-to-Month,65.15,14,No
CUST-10131,18,Month-to-Month,77.96,23,Yes
CUST-10132,42,One Year,107.72,54,No
CUST-10133,24,Month-to-Month,106.77,8,Yes
CUST-10134,26,Month-to-Month,65.11,54,No
CUST-10135,41,Two Year,21.54,36,No
CUST-10136,18,Two Year,62.64,52,No
CUST-10137,61,Two Year,80.62,6,Yes
CUST-10138,25,Month-to-Month,75.78,28,No
CUST-10139,41,One Year,85.13,50,No
CUST-10140,28,Month-to-Month,35.41,38,No
CUST-10141,68,Month-to-Month,84.65,30,No
CUST-10142,34,Month-to-Month,38.27,54,No
CUST-10143,25,Month-to-Month,95.05,71,No
CUST-10144,52,Month-to-Month,53.91,46,No
CUST-10145,52,Two Year,90.99,28,No
CUST-10146,50,Month-to-Month,24.79,17,No
CUST-10147,76,One Year,60.79,48,No
CUST-10148,22,Month-to-Month,90.5,44,Yes
CUST-10149,59,Month-to-Month,42.69,60,No
CUST-10150,56,Month-to-Month,99.53,60,No
CUST-10151,75,Month-to-Month,83.08,5,Yes
CUST-10152,58,One Year,78.76,69,No
CUST-10153,45,Month-to-Month,55.35,70,No
CUST-10154,24,Month-to-Month,68.25,7,Yes
CUST-10155,26,Month-to-Month,79.73,53,No
CUST-10156,25,Month-to-Month,67.25,17,Yes
CUST-10157,29,Two Year,89.83,59,No
CUST-10158,51,Month-to-Month,63.37,9,Yes
CUST-10159,50,One Year,40.23,22,No
CUST-10160,65,One Year,41.39,45,No
CUST-10161,72,Two Year,20.58,59,No
CUST-10162,40,Two Year,50.1,13,No
CUST-10163,79,One Year,94.89,12,No
CUST-10164,41,One Year,99.42,36,No
CUST-10165,54,Two Year,40.25,10,No
CUST-10166,52,Month-to-Month,115.9,16,Yes
CUST-10167,61,Month-to-Month,70.24,19,No
CUST-10168,57,Month-to-Month,111.7,6,Yes
CUST-10169,39,Two Year,90.68,4,Yes
CUST-10170,44,Two Year,92.24,30,No
CUST-10171,52,Month-to-Month,28.5,46,No
CUST-10172,18,One Year,42.0,27,No
CUST-10173,52,Month-to-Month,20.88,45,Yes
CUST-10174,54,Month-to-Month,91.61,37,Yes
CUST-10175,64,Two Year,54.44,9,No
CUST-10176,31,Month-to-Month,98.67,61,Yes
CUST-10177,20,Month-to-Month,53.89,35,No
CUST-10178,18,One Year,101.93,47,Yes
CUST-10179,22,One Year,33.07,21,No
CUST-10180,43,Month-to-Month,37.34,17,No
CUST-10181,72,One Year,54.09,55,No
CUST-10182,31,Month-to-Month,60.85,6,Yes
CUST-10183,56,Month-to-Month,54.87,35,Yes
CUST-10184,44,Month-to-Month,96.36,50,No
CUST-10185,26,One Year,29.7,37,No
CUST-10186,32,Month-to-Month,55.12,13,Yes
CUST-10187,32,Two Year,103.72,25,No
CUST-10188,43,Two Year,26.68,1,No
CUST-10189,59,Two Year,114.23,49,No
CUST-10190,77,Month-to-Month,118.63,35,Yes
CUST-10191,30,Two Year,28.86,53,No
CUST-10192,68,Month-to-Month,49.13,52,No
CUST-10193,49,Month-to-Month,57.24,54,No
CUST-10194,56,Month-to-Month,97.64,47,Yes
CUST-10195,66,Month-to-Month,79.59,43,No
CUST-10196,69,One Year,84.44,20,Yes
CUST-10197,78,Month-to-Month,95.75,33,Yes
CUST-10198,49,Month-to-Month,31.8,16,Yes
CUST-10199,21,One Year,103.32,7,No
CUST-10200,47,Month-to-Month,90.56,70,No
CUST-10201,54,One Year,77.73,21,No
CUST-10202,40,Month-to-Month,108.97,36,Yes
CUST-10203,56,Two Year,90.03,54,No
CUST-10204,62,Two Year,40.17,19,No
CUST-10205,32,Month-to-Month,62.97,25,No
CUST-10206,60,Month-to-Month,69.4,67,No
CUST-10207,46,Month-to-Month,25.52,53,No
CUST-10208,53,Two Year,115.46,48,No
CUST-10209,30,Month-to-Month,32.86,42,No
CUST-10210,49,Month-to-Month,89.75,47,Yes
CUST-10211,24,Month-to-Month,70.62,42,No
CUST-10212,76,Month-to-Month,22.56,2,Yes
CUST-10213,68,Month-to-Month,112.47,6,Yes
CUST-10214,39,Two Year,105.18,46,No
CUST-10215,45,Month-to-Month,72.43,66,No
CUST-10216,19,Month-to-Month,42.89,40,No
CUST-10217,59,Two Year,32.16,58,No
CUST-10218,62,Two Year,56.34,33,No
CUST-10219,79,Month-to-Month,45.54,62,No
CUST-10220,74,Month-to-Month,70.67,12,No
CUST-10221,70,Month-to-Month,116.64,49,No
CUST-10222,23,Two Year,77.5,5,Yes
CUST-10223,45,Month-to-Month,108.99,51,No
CUST-10224,45,Two Year,85.09,69,No
CUST-10225,61,One Year,67.52,32,No
CUST-10226,61,Month-to-Month,105.46,49,Yes
CUST-10227,37,Month-to-Month,67.14,60,No
CUST-10228,47,Month-to-Month,106.86,46,Yes
CUST-10229,79,Month-to-Month,49.16,68,No
CUST-10230,28,Month-to-Month,32.88,41,No
CUST-10231,75,One Year,105.53,67,No
CUST-10232,72,Two Year,78.74,13,No
CUST-10233,45,One Year,108.91,18,Yes
CUST-10234,42,One Year,113.78,51,No
CUST-10235,56,Month-to-Month,25.36,36,Yes
CUST-10236,79,Month-to-Month,70.1,34,No
CUST-10237,50,Month-to-Month,57.5,12,No
CUST-10238,18,One Year,82.59,5,Yes
CUST-10239,74,Two Year,99.36,48,No
CUST-10240,44,One Year,48.06,40,No
CUST-10241,79,Month-to-Month,75.68,13,No
CUST-10242,74,Month-to-Month,90.87,26,Yes
CUST-10243,69,One Year,33.44,14,No
CUST-10244,30,Month-to-Month,101.41,11,Yes
CUST-10245,58,Two Year,80.61,38,No
CUST-10246,20,Two Year,114.95,57,No
CUST-10247,56,One Year,53.95,22,No
CUST-10248,23,Month-to-Month,30.81,16,No
CUST-10249,25,Month-to-Month,70.65,29,No
CUST-10250,44,Month-to-Month,28.58,2,Yes
CUST-10251,26,Month-to-Month,116.95,54,Yes
CUST-10252,79,Month-to-Month,23.87,2,Yes
CUST-10253,54,One Year,95.35,3,Yes
CUST-10254,50,One Year,72.51,56,No
CUST-10255,68,Month-to-Month,56.86,72,No
CUST-10256,59,Month-to-Month,26.58,11,Yes
CUST-10257,61,Month-to-Month,82.22,32,Yes
CUST-10258,41,Month-to-Month,78.52,4,Yes
CUST-10259,32,Two Year,48.09,9,No
CUST-10260,76,Month-to-Month,111.02,56,No
CUST-10261,71,Month-to-Month,50.41,16,No
CUST-10262,49,Month-to-Month,64.97,71,No
CUST-10263,49,Two Year,74.38,10,No
CUST-10264,41,One Year,30.02,36,No
CUST-10265,58,Month-to-Month,113.22,24,Yes
CUST-10266,69,Month-to-Month,57.45,64,No
CUST-10267,66,One Year,28.08,56,No
CUST-10268,79,Two Year,58.73,22,No
CUST-10269,66,Month-to-Month,80.02,52,No
CUST-10270,75,Two Year,71.37,50,No
CUST-10271,69,Two Year,89.45,47,No
CUST-10272,29,Two Year,25.55,23,No
CUST-10273,79,One Year,48.45,19,No
CUST-10274,56,One Year,101.92,52,No
CUST-10275,19,Month-to-Month,27.99,34,No
CUST-10276,20,One Year,105.55,29,Yes
CUST-10277,66,Month-to-Month,29.19,61,No
CUST-10278,54,One Year,103.45,35,No
CUST-10279,66,Month-to-Month,56.08,5,Yes
CUST-10280,73,One Year,81.22,7,Yes
CUST-10281,34,Two Year,35.29,41,No
CUST-10282,76,Month-to-Month,26.62,2,Yes
CUST-10283,66,Two Year,41.59,10,Yes
CUST-10284,19,Month-to-Month,32.79,44,Yes
CUST-10285,19,Two Year,51.24,70,No
CUST-10286,45,Month-to-Month,71.44,35,No
CUST-10287,71,Month-to-Month,78.88,62,No
CUST-10288,40,Two Year,98.99,20,No
CUST-10289,54,Month-to-Month,85.62,35,Yes
CUST-10290,49,Two Year,80.88,37,No
CUST-10291,50,Month-to-Month,61.18,72,No
CUST-10292,18,Month-to-Month,67.38,54,No
CUST-10293,36,Month-to-Month,61.45,28,Yes
CUST-10294,79,One Year,104.22,70,No
CUST-10295,19,Month-to-Month,43.0,32,No
CUST-10296,70,Month-to-Month,20.57,11,No
CUST-10297,61,Month-to-Month,85.13,42,Yes
CUST-10298,43,Month-to-Month,40.25,23,No
CUST-10299,49,Two Year,109.01,30,No
CUST-10300,23,Two Year,105.9,9,No
CUST-10301,49,Month-to-Month,27.67,59,No
CUST-10302,72,One Year,30.64,28,No
CUST-10303,21,Month-to-Month,69.52,33,Yes
CUST-10304,72,One Year,80.92,47,No
CUST-10305,28,Two Year,47.49,22,No
CUST-10306,73,Two Year,91.68,29,No
CUST-10307,76,Month-to-Month,79.49,34,No
CUST-10308,34,One Year,52.48,42,No
CUST-10309,55,Month-to-Month,22.54,52,No
CUST-10310,41,Two Year,95.02,47,No
CUST-10311,22,Month-to-Month,41.48,51,No
CUST-10312,69,One Year,103.45,45,No
CUST-10313,51,One Year,62.03,34,No
CUST-10314,23,One Year,77.71,21,No
CUST-10315,39,Month-to-Month,107.29,13,Yes
CUST-10316,28,Two Year,106.36,54,No
CUST-10317,65,Month-to-Month,57.15,25,No
CUST-10318,33,One Year,40.89,21,No
CUST-10319,50,Month-to-Month,97.51,1,Yes
CUST-10320,26,Month-to-Month,63.31,58,No
CUST-10321,77,Month-to-Month,39.2,69,No
CUST-10322,76,Month-to-Month,110.44,71,No
CUST-10323,23,Month-to-Month,39.81,13,No
CUST-10324,33,Month-to-Month,22.58,52,No
CUST-10325,46,Month-to-Month,22.03,23,Yes
CUST-10326,20,One Year,82.23,21,No
CUST-10327,37,Two Year,86.17,6,Yes
CUST-10328,77,Month-to-Month,51.1,20,No
CUST-10329,76,Month-to-Month,52.0,40,No
CUST-10330,53,Month-to-Month,53.95,9,Yes
CUST-10331,36,Month-to-Month,88.02,50,No
CUST-10332,43,One Year,25.81,28,No
CUST-10333,20,One Year,112.91,11,Yes
CUST-10334,36,Month-to-Month,42.25,56,No
CUST-10335,37,Month-to-Month,119.97,35,Yes
CUST-10336,49,Month-to-Month,37.15,25,No
CUST-10337,24,Two Year,97.15,19,No
CUST-10338,69,Two Year,42.34,31,No
CUST-10339,58,Month-to-Month,28.08,50,No
CUST-10340,50,Month-to-Month,107.49,63,No
CUST-10341,57,Two Year,105.88,47,No
CUST-10342,56,Two Year,60.36,1,No
CUST-10343,35,Month-to-Month,90.24,58,No
CUST-10344,57,Month-to-Month,75.71,10,Yes
CUST-10345,18,Month-to-Month,105.3,8,Yes
CUST-10346,28,One Year,51.51,26,No
CUST-10347,45,Month-to-Month,72.37,34,Yes
CUST-10348,74,Month-to-Month,68.54,19,Yes
CUST-10349,42,One Year,55.39,72,No
CUST-10350,67,Month-to-Month,109.15,1,Yes
CUST-10351,40,One Year,36.59,48,No
CUST-10352,48,Month-to-Month,34.95,25,No
CUST-10353,47,Month-to-Month,77.69,24,No
CUST-10354,59,One Year,85.75,47,No
CUST-10355,52,Month-to-Month,39.46,69,No
CUST-10356,24,Two Year,59.07,67,No
CUST-10357,77,Month-to-Month,114.66,32,Yes
CUST-10358,33,Month-to-Month,44.66,17,No
CUST-10359,43,One Year,86.84,61,No
CUST-10360,65,Month-to-Month,94.01,69,Yes
CUST-10361,74,Two Year,64.81,11,No
CUST-10362,69,Month-to-Month,113.75,38,Yes
CUST-10363,77,Month-to-Month,93.67,68,No
CUST-10364,66,Month-to-Month,65.79,19,No
CUST-10365,19,Month-to-Month,76.93,17,No
CUST-10366,18,Two Year,89.26,13,No
CUST-10367,65,Two Year,79.22,1,No
CUST-10368,79,Month-to-Month,107.87,2,Yes
CUST-10369,29,Month-to-Month,55.69,66,No
CUST-10370,22,Two Year,49.99,68,No
CUST-10371,54,Two Year,41.38,16,No
CUST-10372,49,Month-to-Month,23.78,4,Yes
CUST-10373,76,Month-to-Month,24.3,57,No
CUST-10374,72,Month-to-Month,107.01,23,Yes
CUST-10375,26,Two Year,87.84,2,Yes
CUST-10376,58,Month-to-Month,86.05,67,No
CUST-10377,52,Month-to-Month,81.46,26,Yes
CUST-10378,36,One Year,104.92,7,Yes
CUST-10379,65,Month-to-Month,68.03,44,No
CUST-10380,33,Month-to-Month,107.04,33,Yes
CUST-10381,20,Month-to-Month,55.94,64,Yes
CUST-10382,37,Month-to-Month,112.67,36,Yes
CUST-10383,41,Month-to-Month,89.87,4,Yes
CUST-10384,71,Month-to-Month,45.72,23,Yes
CUST-10385,73,Month-to-Month,76.41,25,No
CUST-10386,50,One Year,73.3,27,No
CUST-10387,41,Two Year,33.79,51,No
CUST-10388,69,One Year,79.12,69,No
CUST-10389,28,Month-to-Month,51.48,23,No
CUST-10390,66,Month-to-Month,25.23,9,Yes
CUST-10391,25,Month-to-Month,114.87,33,Yes
CUST-10392,53,Month-to-Month,84.15,35,Yes
CUST-10393,55,Month-to-Month,107.69,50,No
CUST-10394,57,One Year,87.61,24,No
CUST-10395,37,Month-to-Month,55.7,24,No
CUST-10396,79,Month-to-Month,71.27,19,Yes
CUST-10397,52,Month-to-Month,87.57,39,Yes
CUST-10398,65,One Year,116.03,61,No
CUST-10399,79,Month-to-Month,45.37,25,No
CUST-10400,42,One Year,107.5,25,No
CUST-10401,52,Month-to-Month,112.41,27,Yes
CUST-10402,42,Two Year,87.04,32,No
CUST-10403,46,Two Year,113.13,11,No
CUST-10404,35,Month-to-Month,59.79,69,No
CUST-10405,63,Month-to-Month,115.3,33,Yes
CUST-10406,35,Month-to-Month,90.28,19,Yes
CUST-10407,19,Month-to-Month,24.2,16,Yes
CUST-10408,71,One Year,110.69,11,Yes
CUST-10409,52,Two Year,68.45,69,No
CUST-10410,33,One Year,66.03,55,No
CUST-10411,78,Two Year,76.65,25,No
CUST-10412,58,Month-to-Month,34.94,34,No
CUST-10413,53,Month-to-Month,66.92,12,Yes
CUST-10414,50,One Year,103.11,21,No
CUST-10415,21,Month-to-Month,21.55,29,No
CUST-10416,50,One Year,47.29,51,No
CUST-10417,31,Month-to-Month,20.25,23,No
CUST-10418,38,Month-to-Month,61.57,33,Yes
CUST-10419,65,Two Year,92.83,8,No
CUST-10420,37,Month-to-Month,99.88,42,Yes
CUST-10421,73,Two Year,114.52,69,No
CUST-10422,25,Two Year,80.85,41,No
CUST-10423,24,One Year,45.46,63,No
CUST-10424,20,One Year,112.41,14,Yes
CUST-10425,34,One Year,97.53,62,No
CUST-10426,50,Two Year,77.44,46,No
CUST-10427,65,Month-to-Month,89.56,67,No
CUST-10428,29,Month-to-Month,112.43,53,No
CUST-10429,76,One Year,91.24,52,No
CUST-10430,68,Month-to-Month,56.84,7,Yes
CUST-10431,39,Month-to-Month,91.3,54,No
CUST-10432,72,Month-to-Month,24.03,11,Yes
CUST-10433,39,One Year,58.64,25,No
CUST-10434,63,Two Year,60.63,59,No
CUST-10435,47,Month-to-Month,36.68,66,No
CUST-10436,55,Two Year,22.31,27,No
CUST-10437,55,One Year,33.34,58,No
CUST-10438,62,Two Year,85.46,11,Yes
CUST-10439,68,One Year,100.23,55,No
CUST-10440,71,One Year,118.82,19,No
CUST-10441,25,Month-to-Month,54.64,39,Yes
CUST-10442,44,Two Year,79.94,70,No
CUST-10443,44,Month-to-Month,113.71,11,Yes
CUST-10444,51,Two Year,36.7,14,No
CUST-10445,38,Two Year,91.76,60,No
CUST-10446,47,Month-to-Month,95.5,36,Yes
CUST-10447,50,Month-to-Month,28.9,41,No
CUST-10448,45,One Year,106.12,2,Yes
CUST-10449,64,Month-to-Month,101.31,57,No
CUST-10450,50,Two Year,23.34,60,No
CUST-10451,22,Month-to-Month,29.11,20,No
CUST-10452,77,Month-to-Month,24.91,22,No
CUST-10453,78,Two Year,53.47,4,No
CUST-10454,65,One Year,70.93,56,No
CUST-10455,36,Two Year,73.23,58,No
CUST-10456,21,Month-to-Month,46.77,65,No
CUST-10457,52,One Year,111.16,58,No
CUST-10458,66,One Year,56.83,30,No
CUST-10459,34,One Year,24.56,19,No
CUST-10460,61,One Year,50.02,62,No
CUST-10461,45,One Year,73.11,68,No
CUST-10462,47,Month-to-Month,60.82,44,Yes
CUST-10463,46,Month-to-Month,47.38,61,No
CUST-10464,63,One Year,33.13,21,No
CUST-10465,70,Month-to-Month,101.92,10,Yes
CUST-10466,23,One Year,119.61,30,Yes
CUST-10467,52,Month-to-Month,52.95,24,No
CUST-10468,77,One Year,58.16,48,No
CUST-10469,58,One Year,81.8,55,No
CUST-10470,54,Month-to-Month,91.84,52,No
CUST-10471,41,Month-to-Month,59.2,38,No
CUST-10472,46,Month-to-Month,110.49,67,No
CUST-10473,66,One Year,76.0,8,Yes
CUST-10474,63,Two Year,65.04,29,No
CUST-10475,70,Month-to-Month,84.67,10,Yes
CUST-10476,48,One Year,115.28,69,No
CUST-10477,52,Month-to-Month,99.46,68,No
CUST-10478,77,Month-to-Month,24.0,49,No
CUST-10479,50,Two Year,53.23,58,No
CUST-10480,69,Month-to-Month,67.05,35,Yes
CUST-10481,78,Month-to-Month,51.45,50,No
CUST-10482,38,Month-to-Month,90.02,40,Yes
CUST-10483,49,Month-to-Month,102.63,12,Yes
CUST-10484,40,Month-to-Month,93.13,16,No
CUST-10485,50,Month-to-Month,118.93,48,Yes
CUST-10486,20,One Year,47.25,1,No
CUST-10487,35,Month-to-Month,107.5,65,No
CUST-10488,42,Month-to-Month,96.66,22,Yes
CUST-10489,59,Month-to-Month,56.22,15,Yes
CUST-10490,48,Month-to-Month,93.41,67,Yes
CUST-10491,71,One Year,30.41,14,No
CUST-10492,75,Two Year,98.93,19,No
CUST-10493,20,Month-to-Month,73.23,40,No
CUST-10494,57,Two Year,49.23,4,Yes
CUST-10495,63,One Year,85.58,33,No
CUST-10496,41,One Year,84.16,43,No
CUST-10497,67,Month-to-Month,40.95,37,No
CUST-10498,49,Month-to-Month,23.04,66,No
CUST-10499,64,Month-to-Month,63.36,27,Yes
CUST-10500,39,One Year,76.95,45,No
CUST-10501,40,Month-to-Month,107.66,50,No
CUST-10502,19,Two Year,112.82,63,No
CUST-10503,44,Month-to-Month,72.88,6,Yes
CUST-10504,59,Month-to-Month,95.38,67,No
CUST-10505,19,One Year,63.93,67,No
CUST-10506,43,Month-to-Month,94.61,59,No
CUST-10507,34,Month-to-Month,40.48,13,No
CUST-10508,57,One Year,57.11,21,No
CUST-10509,50,Two Year,83.42,64,No
CUST-10510,26,One Year,21.82,37,No
CUST-10511,60,One Year,92.25,48,Yes
CUST-10512,71,One Year,103.55,56,No
CUST-10513,65,Two Year,59.91,44,No
CUST-10514,56,Month-to-Month,64.79,13,No
CUST-10515,46,Month-to-Month,105.13,4,Yes
CUST-10516,59,Month-to-Month,97.57,33,Yes
CUST-10517,72,Month-to-Month,48.81,37,No
CUST-10518,43,One Year,52.4,53,No
CUST-10519,52,One Year,87.89,24,No
CUST-10520,67,One Year,76.32,51,No
CUST-10521,42,Month-to-Month,36.22,41,No
CUST-10522,41,One Year,50.99,29,Yes
CUST-10523,30,Month-to-Month,110.0,59,No
CUST-10524,77,One Year,88.82,40,No
CUST-10525,75,One Year,118.6,51,No
CUST-10526,24,Month-to-Month,96.7,50,No
CUST-10527,74,Month-to-Month,114.2,36,Yes
CUST-10528,53,Month-to-Month,41.62,60,No
CUST-10529,62,Two Year,97.15,18,No
CUST-10530,37,Two Year,22.02,20,No
CUST-10531,18,One Year,87.08,5,Yes
CUST-10532,25,Month-to-Month,66.93,18,No
CUST-10533,63,Month-to-Month,54.68,40,No
CUST-10534,33,One Year,106.24,1,Yes
CUST-10535,31,One Year,105.43,19,No
CUST-10536,29,Month-to-Month,22.23,26,No
CUST-10537,68,Month-to-Month,80.95,29,Yes
CUST-10538,40,One Year,56.78,59,No
CUST-10539,32,Month-to-Month,61.57,63,No
CUST-10540,45,Month-to-Month,103.2,62,No
CUST-10541,51,Month-to-Month,50.98,48,No
CUST-10542,19,Month-to-Month,114.3,62,No
CUST-10543,49,Two Year,37.96,18,No
CUST-10544,40,Two Year,86.27,66,No
CUST-10545,39,One Year,87.21,27,Yes
CUST-10546,68,Month-to-Month,45.22,6,Yes
CUST-10547,42,Month-to-Month,52.48,70,No
CUST-10548,75,Month-to-Month,103.48,59,No
CUST-10549,79,Month-to-Month,96.18,6,Yes
CUST-10550,78,One Year,52.91,31,No
CUST-10551,39,Month-to-Month,73.4,56,Yes
CUST-10552,75,Month-to-Month,26.17,54,No
CUST-10553,75,Month-to-Month,40.87,41,Yes
CUST-10554,39,Month-to-Month,68.58,18,No
CUST-10555,66,Month-to-Month,28.6,23,No
CUST-10556,69,Month-to-Month,104.33,36,Yes
CUST-10557,59,Two Year,91.8,25,No
CUST-10558,23,Month-to-Month,114.36,7,Yes
CUST-10559,32,Month-to-Month,89.35,20,Yes
CUST-10560,71,Two Year,114.04,5,No
CUST-10561,60,Two Year,75.45,18,No
CUST-10562,77,One Year,80.02,33,No
CUST-10563,54,Two Year,117.7,35,No
CUST-10564,50,Month-to-Month,84.21,65,No
CUST-10565,25,Month-to-Month,23.08,63,No
CUST-10566,70,Month-to-Month,92.38,72,No
CUST-10567,77,One Year,110.55,71,No
CUST-10568,61,One Year,99.56,41,Yes
CUST-10569,61,Month-to-Month,78.38,50,No
CUST-10570,22,Month-to-Month,87.13,30,Yes
CUST-10571,56,One Year,119.02,38,No
CUST-10572,21,Month-to-Month,29.07,35,No
CUST-10573,23,One Year,86.72,66,No
CUST-10574,62,One Year,48.34,46,No
CUST-10575,49,One Year,84.01,8,Yes
CUST-10576,69,One Year,80.76,68,No
CUST-10577,47,Two Year,35.35,37,No
CUST-10578,64,Month-to-Month,40.67,13,Yes
CUST-10579,52,One Year,82.16,45,No
